sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
45343602090,2024-04-25T07:06:30Z,70,16,21,33,37,63,0.11122770199370409
45325371774,2024-04-23T14:04:30Z,74,16,20,38,51,64,0.10490856592877768
45299063506,2024-04-21T15:04:30Z,71,20,10,41,110,64,0.20503330866025166
45288140286,2024-04-20T10:42:30Z,75,19,20,36,25,66,0.11210191082802548
45277101363,2024-04-19T08:38:30Z,54,16,14,24,28,65,0.13153724247226625
45267403397,2024-04-18T06:48:30Z,55,12,16,27,30,63,0.0779510022271715
45251231399,2024-04-17T05:24:30Z,61,15,20,26,28,65,0.11583924349881797
45240310906,2024-04-16T12:15:00Z,62,20,12,30,109,63,0.16841103710751665
45228886439,2024-04-15T06:08:30Z,62,14,21,27,12,65,0.09296482412060302
45221466312,2024-04-14T13:10:30Z,77,20,14,43,124,64,0.10658578856152513
45174204389,2024-04-10T06:01:30Z,58,17,18,23,36,71,0.14587737843551796
45167255235,2024-04-09T09:01:30Z,56,17,11,28,50,68,0.11908396946564885
45155031199,2024-04-08T10:04:30Z,61,14,17,30,32,69,0.11078717201166181
45140658958,2024-04-07T13:58:30Z,78,16,18,44,62,72,0.132973944294699
45113307396,2024-04-04T12:09:00Z,73,20,13,40,75,69,0.09902912621359224
45097067366,2024-04-03T05:33:30Z,65,19,21,25,34,71,0.102803738317757
45085092669,2024-04-02T11:11:30Z,77,17,22,38,72,73,0.07190265486725664
45073403610,2024-04-01T08:20:00Z,50,16,12,22,37,72,0.10458715596330276
45064154337,2024-03-31T11:11:00Z,55,18,12,25,59,67,0.08818342151675485
45051540655,2024-03-30T11:22:30Z,76,18,19,39,85,66,0.09926082365364308
45030226553,2024-03-28T11:05:30Z,70,18,20,32,33,65,0.12336719883889695
45014752011,2024-03-27T06:20:00Z,68,19,21,28,24,67,0.08866995073891626
45005793182,2024-03-26T09:34:00Z,74,17,23,34,43,68,0.047142857142857146
44988772350,2024-03-25T08:11:30Z,65,15,18,32,42,66,0.0847682119205298
44933221245,2024-03-20T05:59:30Z,44,12,12,20,19,61,0.1898989898989899
44923269398,2024-03-19T11:07:30Z,68,18,20,30,61,62,0.09331651954602774
44909878641,2024-03-18T08:33:30Z,71,16,22,33,35,63,0.06737120211360634
44897914189,2024-03-17T12:03:30Z,67,17,17,33,78,61,0.13507853403141362
44890898534,2024-03-16T14:17:30Z,80,17,20,43,59,62,0.0954290296712109
44877922482,2024-03-15T10:03:30Z,65,18,14,33,38,61,0.07662835249042145
44854583762,2024-03-13T07:13:00Z,54,12,19,23,18,65,0.1546134663341646
44847911238,2024-03-12T21:40:30Z,49,13,11,25,27,63,0.12467532467532468
44844797808,2024-03-12T10:09:30Z,70,16,16,38,31,63,0.0843644544431946
44833303223,2024-03-11T13:04:30Z,59,17,17,25,71,62,0.14074074074074075
44818281616,2024-03-10T14:25:30Z,82,22,19,41,92,63,0.13034825870646766
44810295352,2024-03-09T13:14:30Z,90,21,23,46,76,66,0.07587382779198636
44799694299,2024-03-08T10:37:30Z,63,16,21,26,40,68,0.10806174957118353
44786999691,2024-03-07T11:45:30Z,85,21,22,42,59,70,0.08968307484828052
44772703280,2024-03-06T04:18:30Z,54,17,20,17,37,71,0.10687022900763359
44766668934,2024-03-05T03:23:30Z,58,13,20,25,29,72,0.09197651663405088
44753294377,2024-03-04T10:48:00Z,66,18,20,28,34,71,0.1026694045174538
44743126705,2024-03-03T14:22:30Z,77,21,12,44,86,67,0.09090909090909091
44730859966,2024-03-02T13:17:30Z,72,21,16,35,72,64,0.11425682507583418
44718410205,2024-03-01T10:11:30Z,63,18,20,25,,66,0.10551558752997602
44709231416,2024-02-29T11:10:30Z,83,21,22,40,62,67,0.11121951219512195
44694717098,2024-02-28T05:41:30Z,62,15,22,25,31,70,0.12160413971539456
44675398488,2024-02-26T13:34:30Z,76,17,17,42,84,72,0.13747521480502314
44665673162,2024-02-25T13:10:30Z,61,15,13,33,65,68,0.06729475100942127
44654446800,2024-02-24T13:34:30Z,79,18,18,43,89,67,0.11814345991561181
44638232926,2024-02-23T12:24:30Z,74,18,19,37,83,69,0.16970278044103548
44631147716,2024-02-22T12:17:30Z,79,18,20,41,105,72,0.1377643504531722
44612947022,2024-02-21T05:44:30Z,51,16,18,17,41,70,0.12111292962356793
44603485637,2024-02-20T10:43:30Z,75,16,21,38,58,73,0.10103871576959396
44595816098,2024-02-19T10:33:30Z,70,16,21,33,40,75,0.10974244120940649
44582910689,2024-02-18T10:14:30Z,62,17,16,29,67,73,0.15765247410817032
44570119027,2024-02-17T10:10:30Z,65,19,13,33,81,67,0.06359945872801083
44560002063,2024-02-16T10:03:30Z,70,18,15,37,115,65,0.11090400745573159
44547392387,2024-02-15T12:08:30Z,86,23,19,44,110,65,0.10238645111624327
44533518711,2024-02-14T05:39:30Z,59,15,20,24,42,68,0.13473684210526315
44527550866,2024-02-13T11:23:30Z,70,17,21,32,39,70,0.10752688172043011
44515217489,2024-02-12T09:47:30Z,72,17,21,34,44,72,0.11384615384615385
44502029446,2024-02-11T12:16:30Z,76,17,20,39,46,74,0.1188118811881188
44492363548,2024-02-10T08:02:30Z,64,15,20,29,38,77,0.10159651669085631
44478743801,2024-02-09T10:56:30Z,65,20,12,33,48,72,0.10817307692307693
44466976853,2024-02-08T10:25:00Z,86,22,21,43,83,73,0.10581583198707593
44431176124,2024-02-05T07:33:30Z,60,15,18,27,23,74,0.0774818401937046
44422699620,2024-02-04T11:11:30Z,66,18,14,34,59,72,0.12725090036014405
44411053811,2024-02-03T12:37:30Z,73,17,15,41,55,70,0.08978328173374613
44398946376,2024-02-02T11:06:30Z,66,19,15,32,71,68,0.11097560975609756
44351647025,2024-02-01T11:10:00Z,63,15,22,26,25,69,0.11157894736842106
44386696898,2024-02-01T03:46:30Z,62,15,21,26,28,69,0.09135802469135802
44373151221,2024-01-31T05:38:30Z,66,15,19,32,29,68,0.08663729809104258
44366693314,2024-01-30T12:17:30Z,61,17,22,22,58,70,0.09506398537477148
44354425128,2024-01-29T11:58:30Z,86,22,21,43,113,71,0.10323089046493301
44317467754,2024-01-26T10:15:00Z,72,21,15,36,60,68,0.11210191082802548
44303833487,2024-01-25T07:42:30Z,71,18,18,35,70,67,0.12205128205128205
44280755878,2024-01-23T10:10:30Z,81,19,20,42,54,65,0.1132844335778321
44262639680,2024-01-22T08:30:30Z,73,21,19,33,69,64,0.1264222503160556
44259264335,2024-01-21T23:03:30Z,56,16,13,27,21,62,0.11630847029077118
44252627591,2024-01-21T09:04:30Z,70,16,18,36,44,62,0.09334485738980121
44241520020,2024-01-20T07:29:30Z,75,17,19,39,48,62,0.11793372319688109
44228567826,2024-01-19T07:53:30Z,77,18,18,41,59,61,0.12546676624346528
44219303406,2024-01-18T08:11:30Z,69,16,15,38,48,60,0.14377880184331798
44205261403,2024-01-17T05:31:00Z,66,20,19,27,47,62,0.1352549889135255
44198434921,2024-01-16T23:52:30Z,63,18,15,30,82,60,0.10566037735849057
44189362233,2024-01-16T08:07:30Z,71,18,17,36,93,60,0.10283315844700944
44169966548,2024-01-14T19:21:30Z,51,17,18,16,22,63,0.1308562197092084
44166834946,2024-01-14T08:56:30Z,66,16,20,30,36,63,0.10201342281879194
44158746560,2024-01-13T18:13:30Z,59,15,19,25,30,64,0.0967741935483871
44151711568,2024-01-13T05:21:30Z,51,16,17,18,42,64,0.166351606805293
44146494903,2024-01-12T17:23:30Z,59,16,18,25,44,65,0.17316017316017315
44142374873,2024-01-12T05:24:30Z,82,18,18,46,80,65,0.08691983122362869
44123800979,2024-01-10T11:49:30Z,80,19,17,44,78,62,0.09593246354566386
44113479732,2024-01-09T18:32:30Z,53,16,17,20,27,64,0.13333333333333333
44098675890,2024-01-08T10:01:30Z,73,17,20,36,32,66,0.10537870472008781
44075721634,2024-01-06T09:18:30Z,75,18,21,36,79,65,0.06519337016574586
44065055662,2024-01-05T10:26:30Z,54,16,22,16,70,68,0.0981067125645439
44054613053,2024-01-04T12:37:30Z,83,20,21,42,101,70,0.10611205432937182
44033429417,2024-01-02T12:46:30Z,76,22,13,41,87,66,0.05325443786982249
44008269023,2023-12-31T10:00:30Z,73,17,17,39,47,65,0.13345356176735798
43973115629,2023-12-28T11:13:00Z,78,18,18,42,95,68,0.1235340109460516
43964569010,2023-12-27T10:56:30Z,78,21,14,43,106,65,0.12269031781226904
43952038042,2023-12-26T07:29:30Z,75,21,16,38,74,64,0.0951188986232791
43941477022,2023-12-25T08:18:30Z,59,15,17,27,30,62,0.08444444444444445
43927678086,2023-12-24T10:05:30Z,74,18,12,44,73,61,0.13123359580052493
43918887583,2023-12-23T06:08:30Z,64,18,15,31,47,59,0.09395973154362416
43907095986,2023-12-22T05:57:30Z,65,19,15,31,38,59,0.05354330708661417
43896870556,2023-12-21T10:11:30Z,80,16,19,45,80,61,0.10539845758354756
43871939141,2023-12-19T09:58:30Z,81,17,20,44,83,65,0.10550814584949574
43862114819,2023-12-18T08:44:30Z,78,19,22,37,33,67,0.07483870967741936
43852181756,2023-12-17T09:49:30Z,68,16,20,32,63,68,0.08710033076074973
43839126426,2023-12-16T07:42:30Z,73,21,21,31,57,71,0.08347245409015025
43830346587,2023-12-15T08:48:30Z,73,21,20,32,50,72,0.07390817469204927
43819037345,2023-12-14T08:04:30Z,50,15,12,23,55,67,0.08376068376068375
43804888255,2023-12-13T09:38:30Z,77,16,21,40,51,69,0.11004784688995216
43793274070,2023-12-12T06:36:30Z,75,19,19,37,67,69,0.07924528301886792
43778059734,2023-12-11T01:23:30Z,71,19,17,35,79,71,0.11550151975683891
43771614527,2023-12-10T07:00:30Z,48,14,12,22,34,70,0.10767160161507403
43758153184,2023-12-09T04:28:30Z,74,21,17,36,54,70,0.0896637608966376
43755297082,2023-12-08T18:34:30Z,46,13,13,20,22,69,0.23273657289002558
43745299177,2023-12-07T20:49:30Z,57,16,17,24,41,67,0.13146233382570163
43736691350,2023-12-07T06:10:30Z,47,16,8,23,28,67,0.20210896309314588
43732556038,2023-12-06T22:00:30Z,46,10,10,26,,66,0.1654320987654321
43725286516,2023-12-06T13:42:30Z,73,17,12,44,30,66,0.11344211344211344
43716356732,2023-12-05T17:10:30Z,71,19,19,33,34,67,0.13404507710557534
43711735912,2023-12-05T05:52:30Z,57,17,14,26,29,67,0.13636363636363635
43700804143,2023-12-04T04:47:30Z,54,17,14,23,17,68,0.16274089935760172
43682385325,2023-12-02T15:15:30Z,66,17,19,30,65,70,0.16455696202531644
43669320760,2023-12-01T05:17:30Z,52,12,11,29,5,65,0.09744779582366589
43660875298,2023-11-30T11:22:30Z,63,16,17,30,53,65,0.09500805152979067
43649817062,2023-11-29T10:44:30Z,79,20,22,37,45,67,0.04903078677309008
43634565403,2023-11-28T08:14:30Z,79,21,22,36,43,69,0.066746126340882
43620406936,2023-11-27T05:37:30Z,65,14,23,28,24,72,0.049868766404199474
43606410033,2023-11-25T22:36:30Z,60,19,12,29,13,71,0.0717628705148206
43601899323,2023-11-25T13:40:30Z,64,19,11,34,84,71,0.10442678774120318
43593962179,2023-11-24T21:20:30Z,65,16,16,33,40,71,0.09727626459143969
43581534478,2023-11-23T14:31:00Z,75,20,14,41,125,70,0.14581734458940906
43559359829,2023-11-21T09:03:30Z,58,19,14,25,35,69,0.09014675052410902
43544576139,2023-11-20T10:52:30Z,67,20,17,30,26,68,0.09759547383309759
43535718003,2023-11-19T14:00:30Z,72,19,14,39,52,67,0.141643059490085
43521764771,2023-11-18T05:04:30Z,54,13,15,26,24,65,0.11439842209072978
43512851454,2023-11-17T07:24:30Z,63,17,22,24,25,67,0.0851063829787234
43500943287,2023-11-16T08:14:30Z,68,15,21,32,41,68,0.06337135614702155
43476719771,2023-11-14T11:11:30Z,72,22,15,35,91,62,0.12031782065834279
43463463071,2023-11-13T10:35:30Z,73,19,13,41,84,60,0.0931422722620266
43449084804,2023-11-12T09:58:30Z,68,16,19,33,58,62,0.10444177671068428
43421452071,2023-11-09T10:35:30Z,82,19,19,44,80,66,0.0872540633019675
43391382354,2023-11-07T08:14:30Z,70,17,18,35,74,66,0.09578107183580388
43357596939,2023-11-04T06:14:30Z,56,17,11,28,68,65,0.12035661218424963
43337931964,2023-11-02T08:24:30Z,69,17,20,32,82,68,0.10640870616686819
43312235863,2023-10-31T08:39:30Z,75,19,23,33,40,68,0.05511811023622047
43297985074,2023-10-30T06:20:30Z,81,20,19,42,76,66,0.07756813417190776
43289186328,2023-10-29T10:00:30Z,80,21,18,41,77,64,0.09184726522187822
43276933303,2023-10-28T07:30:30Z,69,21,16,32,72,62,0.09012875536480687
43256935706,2023-10-26T08:17:30Z,63,16,18,29,35,62,0.12558869701726844
43243333640,2023-10-25T09:50:30Z,82,19,19,44,60,63,0.09991386735572783
43232084392,2023-10-24T08:51:30Z,68,19,14,35,77,61,0.10408432147562582
43220788082,2023-10-23T08:32:30Z,72,17,21,34,38,63,0.10532276330690826
43186718890,2023-10-20T07:59:30Z,64,17,14,33,45,64,0.10671067106710672
43176502103,2023-10-19T08:00:00Z,63,15,19,29,24,67,0.07925801011804384
43160869706,2023-10-18T06:29:30Z,56,19,18,19,36,67,0.11785095320623917
43148572558,2023-10-17T06:29:30Z,71,18,21,32,52,72,0.11210191082802548
